"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12491","Validates the Sql Injection scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:04:06 IST 2026","passed","Thu Feb 26 11:04:18 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","sql_injection"
"","2728","Validates the Special Char scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:19:05 IST 2026","broken","Thu Feb 26 11:19:08 IST 2026","tests.RegisterLastNameTest","Surefire test","tests.RegisterLastNameTest","LN_04_SpecialChar"
"","9404","Validates the Email Numeric Only scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:07:33 IST 2026","passed","Thu Feb 26 11:07:42 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_numeric_only"
"","11493","Validates the Mobile 11 Digits scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:09:15 IST 2026","passed","Thu Feb 26 11:09:26 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_11_digits"
"","2583","Validates the Mobile Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:10:14 IST 2026","passed","Thu Feb 26 11:10:17 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_empty"
"","6304","Validates the Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:18:36 IST 2026","broken","Thu Feb 26 11:18:42 IST 2026","tests.RegisterLastNameTest","Surefire test","tests.RegisterLastNameTest","LN_01_Empty"
"","8145","Validates the Alphabet scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:21:04 IST 2026","passed","Thu Feb 26 11:21:12 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_04_Alphabet"
"","6971","Validates the Only Mobile Filled scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:18:08 IST 2026","broken","Thu Feb 26 11:18:15 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_08_OnlyMobileFilled"
"","5120","Validates the Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:13:06 IST 2026","broken","Thu Feb 26 11:13:11 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_01_Empty"
"","12449","Validates the Special Chars Only scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:03:45 IST 2026","passed","Thu Feb 26 11:03:57 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","special_chars_only"
"","9776","Validates the Email Script Injection scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:07:47 IST 2026","passed","Thu Feb 26 11:07:56 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_script_injection"
"","3145","Validates the Mobile Long Number scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:10:23 IST 2026","passed","Thu Feb 26 11:10:26 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_long_number"
"","6236","Validates the Email Empty Both Fields scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:06:04 IST 2026","passed","Thu Feb 26 11:06:10 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_empty_both_fields"
"","7975","Validates the Special Char scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:13:48 IST 2026","passed","Thu Feb 26 11:13:56 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_04_SpecialChar"
"","2732","Validates the Password Less Than 8 scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:12:16 IST 2026","passed","Thu Feb 26 11:12:18 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","password_less_than_8"
"","6569","Validates the No Domain scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:13:38 IST 2026","passed","Thu Feb 26 11:13:45 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_03_NoDomain"
"","12557","Validates the Valid Format Unregistered scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:05:18 IST 2026","passed","Thu Feb 26 11:05:31 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","valid_format_unregistered"
"","3239","Validates the Valid scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:20:08 IST 2026","broken","Thu Feb 26 11:20:11 IST 2026","tests.RegisterLastNameTest","Surefire test","tests.RegisterLastNameTest","LN_10_Valid"
"","11526","Validates the Missing Dot scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:14:25 IST 2026","failed","Thu Feb 26 11:14:37 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_07_MissingDot"
"","8371","Validates the Short scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:20:33 IST 2026","passed","Thu Feb 26 11:20:42 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_02_Short"
"","3502","Validates the Invalid Email scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:17:35 IST 2026","broken","Thu Feb 26 11:17:39 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_04_InvalidEmail"
"","9081","Validates the Double At scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:14:47 IST 2026","passed","Thu Feb 26 11:14:56 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_08_DoubleAt"
"","12571","Validates the Spaces In Between scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:03:25 IST 2026","passed","Thu Feb 26 11:03:38 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","spaces_in_between"
